ID,Name,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening
517,Central Corridor LRT,BA,BA,BA,BA,AR-2013,AR-2013,BA
518,METRO Gold Bus Rapid Transit,PP-19,PP-19,PP-19,PP-19,PP-19,PP-19,PP-19
518,METRO Gold Bus Rapid Transit,PP-22,PP-22,PP-22,PP-22,PP-22,PP-22,PP-22
519,Rochester Downtown Circulator Bus Rapid Transit,PP-22,PP-22,PP-22,PP-22,PP-22,PP-22,PP-22
520,Wilmington to Newark Commuter Rail Improvements,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007
520,Wilmington to Newark Commuter Rail Improvements,AR-2008,AR-2008,AR-2008,AR-2008,AR-2008,AR-2008,AR-2008
520,Wilmington to Newark Commuter Rail Improvements,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010
520,Wilmington to Newark Commuter Rail Improvements,Other,Other,Other,Other,,,Other
521,LYNX Blue Line Extension - Northeast Corridor,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,NA,AR-2010
521,LYNX Blue Line Extension - Northeast Corridor,AR-2012,AR-2012,AR-2012,AR-2012,AR-2012,NA,AR-2012
521,LYNX Blue Line Extension - Northeast Corridor,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,NA,AR-2013
521,LYNX Blue Line Extension - Northeast Corridor,AR-2015,AR-2013,AR-2015,AR-2015,AR-2015,NA,AR-2015
521,LYNX Blue Line Extension - Northeast Corridor,AR-2015,AR-2013,AR-2015,AR-2015,AR-2015,NA,AR-2015
521,LYNX Blue Line Extension - Northeast Corridor,Other,Other,Other,Other,Other,NA,Other
522,CityLYNX Gold Line Phase 2 Streetcar,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,NA,AR-2015
522,CityLYNX Gold Line Phase 2 Streetcar,PP-16,PP-16,PP-16,PP-16,PP-16,NA,PP-16
522,CityLYNX Gold Line Phase 2 Streetcar,AR-2018,AR-2018,PP-16,PP-16,PP-16,NA,PP-16
523,Blue Line Capacity Expansion,PP-16,PP-16,PP-16,PP-16,PP-16,NA,PP-16
524,South Corridor Light Rail Project,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,NA,BA
524,South Corridor Light Rail Project,AR-2003,AR-2003,,AR-2003,AR-2003,NA,BA
524,South Corridor Light Rail Project,AR-2004,AR-2004,,AR-2004,AR-2004,NA,BA
524,South Corridor Light Rail Project,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005,NA,BA
524,South Corridor Light Rail Project,AR-2006,AR-2006,AR-2006,AR-2006,AR-2006,AR-2007,AR-2006
524,South Corridor Light Rail Project,BA,BA,AR-2007,BA,AR-2007,AR-2007,BA
524,South Corridor Light Rail Project,AR-2007,BA,AR-2007,BA,AR-2007,AR-2007,BA
524,South Corridor Light Rail Project,BA,BA,BA,BA,AR-2007,AR-2007,BA
525,Durham-Orange LRT,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015
525,Durham-Orange LRT,PP-2017,PP-2017,PP-2017,PP-2017,PP-2017,PP-2017,PP-2017
,,Other,Other,,,,,
526,Research Triangle Regional Rail System,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,NA,AR-2000
526,Research Triangle Regional Rail System,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
526,Research Triangle Regional Rail System,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003,AR-2002,AR-2003
526,Research Triangle Regional Rail System,AR-2004,AR-2004,AR-2004,AR-2004,AR-2004,AR-2002,AR-2004
526,Research Triangle Regional Rail System,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005
526,Research Triangle Regional Rail System,AR-2005,AR-2006,AR-2007,AR-2006,AR-2006,AR-2006,AR-2006
526,Research Triangle Regional Rail System,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007
,,AR-2008,AR-2009,,,,,
527,North-South BRT,PP-18,PP-18,PP-18,PP-18,PP-18,NA,PP-18
527,North-South BRT,PP-21,PP-21,PP-21,PP-21,PP-21,NA,PP-21
528,Wake Bus Rapid Transit: New Bern Avenue Project,PP-21,PP-21,PP-21,PP-21,PP-21,PP-21,PP-21
529,Lowcountry Rapid Transit Project,PP-22,PP-22,PP-22,PP-22,PP-22,PP-22,PP-22
530,IndyGO Purple Line BRT,PP-19,PP-19,PP-19,PP-19,PP-19,PP-19,PP-19
530,IndyGO Purple Line BRT,PP-20,PP-20,PP-20,PP-20,PP-20,PP-20,PP-20
530,IndyGO Purple Line BRT,PP-21,PP-21,PP-21,PP-21,PP-21,PP-21,PP-21
531,Red Line All-Electric BRT,PP-18,PP-18,PP-18,PP-18,PP-18,PP-18,PP-18
531,Red Line All-Electric BRT,Other,Other,Other,Other,Other,Other,Other
532,IndyGO Blue Line Rapid Transit,PP-20,PP-20,PP-20,PP-20,PP-20,NA,PP-20
532,IndyGO Blue Line Rapid Transit,PP-21,PP-21,PP-21,PP-21,PP-21,PP-21,PP-21
533,West Lake Corridor,PP-18,PP-18,PP-18,PP-18,PP-18,NA,PP-18
533,West Lake Corridor,PP-19,PP-19,PP-19,PP-19,PP-19,NA,PP-19
533,West Lake Corridor,PP-20,PP-20,PP-20,PP-20,PP-20,NA,PP-20
533,West Lake Corridor,PP-21,PP-21,PP-21,PP-21,PP-21,NA,PP-21
533,West Lake Corridor,PP-22,PP-22,PP-22,PP-22,PP-22,NA,PP-22
534,South Shore Line /Double Track Northwest Indiana,PP-19,PP-19,PP-19,PP-19,PP-19,NA,PP-19
534,South Shore Line /Double Track Northwest Indiana,PP-21,PP-21,PP-21,PP-21,PP-21,NA,PP-21
534,South Shore Line /Double Track Northwest Indiana,PP-22,PP-22,PP-22,PP-22,PP-22,NA,PP-22
535,New Britain Hartford Busway,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
535,New Britain Hartford Busway,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
535,New Britain Hartford Busway,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003
535,New Britain Hartford Busway,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005
535,New Britain Hartford Busway,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007
535,New Britain Hartford Busway,AR-2008,AR-2008,AR-2008,AR-2008,AR-2008,AR-2008,AR-2008
535,New Britain Hartford Busway,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010
535,New Britain Hartford Busway,AR-2012,AR-2012,AR-2012,AR-2012,AR-2012,AR-2012,AR-2012
535,New Britain Hartford Busway,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
535,New Britain Hartford Busway,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015
535,New Britain Hartford Busway,Other,Other,Other,Other,Other,Other,Other
536,Urban Transitway Phase II,AR-2008,AR-2008,AR-2008,AR-2008,AR-2008,AR-2008,AR-2008
536,Urban Transitway Phase II,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010
536,Urban Transitway Phase II,Other,Other,Other,Other,AR-2013,AR-2013,Other
537,Urban Transitway Phase I,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
537,Urban Transitway Phase I,AR-2006,AR-2006,AR-2006,AR-2006,AR-2006,AR-2006,AR-2006
537,Urban Transitway Phase I,Other,Other,Other,Other,Other,Other,Other
538,Bridgeport Innermodal Transportation Center Phase 2B and 3,AR-2002,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003
539,High Capacity Transit Corridor Project,AR-2011,AR-2011,AR-2011,AR-2011,AR-2011,AR-2011,AR-2011
539,High Capacity Transit Corridor Project,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
539,High Capacity Transit Corridor Project,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014
540,Primary Corridor Transportation Project,AR-2003,AR-2003,,AR-2003,AR-2003,,AR-2003
540,Primary Corridor Transportation Project,AR-2004,AR-2004,,AR-2004,AR-2004,,AR-2004
540,Primary Corridor Transportation Project,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005
540,Primary Corridor Transportation Project,AR-2006,AR-2006,AR-2006,AR-2006,AR-2006,AR-2006,AR-2006
541,Division Avenue/Silver Line BRT,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010
541,Division Avenue/Silver Line BRT,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
541,Division Avenue/Silver Line BRT,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014
542,Laker Line BRT,PP-16,PP-16,PP-16,PP-16,PP-16,PP-16,PP-16
542,Laker Line BRT,PP-17,PP-17,PP-17,PP-17,PP-17,PP-17,PP-17
542,Laker Line BRT,PP-18,PP-18,PP-18,PP-18,PP-18,PP-18,PP-18
542,Laker Line BRT,AR-2020,AR-2020,PP-19,PP-19,PP-19,PP-19,PP-19
542,Laker Line BRT,Other,Other,,Other,,,Other
543,Michigan/Grand River BRT,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014
543,Michigan/Grand River BRT,PP-17,PP-17,PP-17,PP-17,PP-17,PP-17,PP-17
543,Michigan/Grand River BRT,PP-18,PP-18,PP-18,PP-18,PP-18,PP-18,PP-18
544,Central Avenue Corridor/Albuquerque Rapid Transit BRT Project,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015
544,Central Avenue Corridor/Albuquerque Rapid Transit BRT Project,PP-17,PP-17,PP-17,PP-17,PP-17,PP-17,PP-17
544,Central Avenue Corridor/Albuquerque Rapid Transit BRT Project,AR-2020,AR-2020,PP-18,PP-18,PP-18,PP-18,PP-18
545,4th Street/Prater Way BRT Project,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015
545,5th Street/Prater Way BRT Project,PP-17,PP-17,PP-17,PP-17,PP-17,PP-17,PP-17
545,6th Street/Prater Way BRT Project,AR-2018,AR-2018,AR-2018,AR-2018,AR-2018,AR-2018,AR-2018
546,Virginia Street BRT Extension Project,PP-16,PP-16,PP-16,PP-16,PP-16,NA,PP-16
546,Virginia Street BRT Extension Project,PP-17,PP-17,PP-17,PP-17,PP-17,NA,PP-17
546,Virginia Street BRT Extension Project,PP-19,PP-19,PP-19,PP-19,PP-19,PP-19,PP-19
546,Virginia Street BRT Extension Project,PP-20,PP-20,PP-20,PP-20,PP-20,PP-20,PP-20
546,Virginia Street BRT Extension Project,AR-2021,AR-2021,AR-2021,AR-2021,AR-2021,AR-2021,AR-2021
547,Resort Corridor Fixed Guideway,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
,,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
,,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003,,AR-2003
,,AR-2004,AR-2004,AR-2004,AR-2004,AR-2004,,AR-2004
,,AR-2006,AR-2006,AR-2006,AR-2006,AR-2006,AR-2006,AR-2006
,,AR-2007,AR-2007,,,,,
548,Maryland Parkway High Capacity Transit Project,PP-21,PP-21,PP-21,PP-21,PP-21,NA,PP-21
549,East-West Connector BRT Project/ The AMP,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015
,,Other,Other,,,,,
550,East Corridor Commuter Rail,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
550,East Corridor Commuter Rail,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
550,East Corridor Commuter Rail,AR-2003,AR-2003,AR-2007,AR-2003,AR-2003,AR-2002,AR-2003
550,East Corridor Commuter Rail,AR-2004,AR-2004,AR-2007,AR-2004,AR-2004,,AR-2004
550,East Corridor Commuter Rail,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007
551,Medical Center Extension,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,NA,AR-2000
551,Medical Center Extension,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,NA,AR-2001
551,Medical Center Extension,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002,NA,AR-2002
551,Medical Center Extension,Other,Other,Other,Other,Other,NA,Other
552,Memphis Innovation Corridor Project,PP-22,PP-22,PP-22,PP-22,PP-22,NA,PP-22
553,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
553,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,AR-2001,AR-2001,AR-2001,AR-2003,AR-2003,,AR-2003
553,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,AR-2001,AR-2001,AR-2001,AR-2004,AR-2004,AR-2004,AR-2004
553,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,NA,AR-2007
553,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,AR-2008,AR-2008,AR-2008,AR-2008,AR-2008,AR-2008,AR-2008
553,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010
553,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010
554,East West Corridor BRT,PP-19,PP-19,PP-19,PP-19,PP-19,PP-19,PP-19
554,East West Corridor BRT,PP-21,PP-21,PP-21,PP-21,PP-21,PP-21,PP-21
555,Madison East West Bus Rapid Transit,PP-22,PP-22,PP-22,PP-22,PP-22,PP-22,PP-22
556,Pawtucket Central Falls Commuter Rail Station,AR-2012,AR-2012,AR-2012,AR-2012,AR-2012,AR-2012,AR-2012
557,Rhode Island Commuter Rail Improvement,AR-2003,AR-2003,,AR-2003,AR-2003,,
558,South County Commuter Rail,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007
558,South County Commuter Rail,AR-2009,AR-2009,AR-2011,AR-2009,AR-2009,AR-2011,AR-2011
558,South County Commuter Rail,AR-2012,AR-2012,AR-2012,AR-2012,AR-2012,AR-2012,AR-2012
559,Transportation Tomorrow South Central Corridor LRT,AR-2002,AR-2002,AR-2002,AR-2002,,,
559,Transportation Tomorrow South Central Corridor LRT,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003,,
560,Wake BRT - Western Corridor Project,2020,PP-22,PP-22,PP-22,PP-22,NA,PP-22
